"UF","Cidade","Data","Dados da apreensão","Tipo penal"
"SP","Ribeirão Preto",31/01/2015,"01 (UM) PÁSSARO TRINCA FERRO (SALTATOR SIMILIS), ANILHA IBAMA OA 3,5 320591, NA RESPECTIVA GAIOLA.;01 (UM) SABIÁ COLEIRA (TURDUS ALBICOLLIS), ANILHA IBAMA OA 4,0 146233, NA RESPECTIVA GAIOLA.;01 (UM) SABIÁ LARANJEIRA (TURDUS RUFIVENTRIS), ANILHA IBAMA OA 4,0 143972, NA RESPECTIVA GAIOLA.;02 (DOIS) PASSAROS PRETOS (GNORIMOPSAR CHOPI), ANILHAS: IBAMA OA 3,5 340073 E IBAMA OA 3,5 340074, NAS RESPECTIVAS GAIOLAS.","Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998"
"SP","São Paulo",12/02/2015,"40 PÁSSAROS SILVESTRES, SENDO:_x000D_
01 TIZIU;_x000D_
06 COLEIRINHAS;_x000D_
02 COLEIRINHA-HELMAYRI_x000D_
07 PAPA-CAPIM_x000D_
01 BREJAL_x000D_
01 PINTASSILGO_x000D_
01 CANÁRIO-DA-TERRA_x000D_
02 TICO-TICO_x000D_
01 SAÍRA-CABOCLA_x000D_
09 SANHAÇO-COMUM_x000D_
07 PICHARRO_x000D_
01 SABIÁ-PARDO_x000D_
01 PÁSSARO-PRETO;40 PÁSSAROS SILVESTRES, SENDO:_x000D_
01 TIZIU;_x000D_
06 COLEIRINHAS;_x000D_
02 COLEIRINHA-HELMAYRI_x000D_
07 PAPA-CAPIM_x000D_
01 BREJAL_x000D_
01 PINTASSILGO_x000D_
01 CANÁRIO-DA-TERRA_x000D_
02 TICO-TICO_x000D_
01 SAÍRA-CABOCLA_x000D_
09 SANHAÇO-COMUM_x000D_
07 PICHARRO_x000D_
01 SABIÁ-PARDO_x000D_
01 PÁSSARO-PRETO;OBJETOS CONHECIDOS COMO ""BIQUEIRA"", FEITOS DE"" TRIPA DE MICO"" RECORTADA E COURO. LACRADO EM ENVELOPE PLÁSTICO SOB Nº 0121078..","Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,III, Código Penal;Art.32, Lei 9605/1998"
"ES","São Mateus",15/02/2015,"UM PERIQUITO JANDAIA COROA (VIVO).;UM PERIQUITO JANDAIA COROA (VIVO).;UM PERIQUITO JANDAIA COROA (VIVO).;UM PERIQUITO JANDAIA COROA (VIVO).","Art.14, Lei 10826/2003;Art.29,§1°,III, Lei 9605/1998;Art.29,§4°,V, Lei 9605/1998;Art.52, Lei 9605/1998"
"SP","Ribeirão Preto",18/02/2015,"ITEM 01 - 91 (NOVENTA E UM) PÁSSAROS DA FAUNA BRASILEIRA DA ESPÉCIE "" CANÁRIO DA TERRA"";;ITEM 01 - 91 (NOVENTA E UM) PÁSSAROS DA FAUNA BRASILEIRA DA ESPÉCIE "" CANÁRIO DA TERRA"";;ITEM 02 - 01 (UM) PÁSSARO DA FAUNA BRASILEIRA DA ESPÉCIE ""BIGODINHO"";;ITEM 02 - 01 (UM) PÁSSARO DA FAUNA BRASILEIRA DA ESPÉCIE ""BIGODINHO"";","Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.32, Lei 9605/1998;Art.32, Lei 9605/1998"
"MS","Naviraí",20/02/2015,"SENDO 06 (SEIS) COLEIROS DO BREJO, 1 (UM) CURIÓ, 1 (UM) FILHOTE DE PAPAGAIO, E 1 (UMA) MARITACA, 02 (DOIS) CANÁRIOS BELGA  SEGUNDO INFORMAÇÕES DOS FUNCIONÁRIOS DO IBAMA;SENDO 06 (SEIS) COLEIROS DO BREJO, 1 (UM) CURIÓ, 1 (UM) FILHOTE DE PAPAGAIO, E 1 (UMA) MARITACA, 02 (DOIS) CANÁRIOS BELGA  SEGUNDO INFORMAÇÕES DOS FUNCIONÁRIOS DO IBAMA;SENDO 06 (SEIS) COLEIROS DO BREJO, 1 (UM) CURIÓ, 1 (UM) FILHOTE DE PAPAGAIO, E 1 (UMA) MARITACA, 02 (DOIS) CANÁRIOS BELGA  SEGUNDO INFORMAÇÕES DOS FUNCIONÁRIOS DO IBAMA","Art.12, Lei 10826/2003;Art.29,§1°,III, Lei 9605/1998;Art.29,§4°, Lei 9605/1998"
"MG","Belo Horizonte",07/03/2015,"05 PÁSSAROS, SENDO:_x000D_
02 TRINCA-FERRO;_x000D_
03 PAPA-CAPIM;_x000D_
E 01 COLEIRINHA.;05 PÁSSAROS, SENDO:_x000D_
02 TRINCA-FERRO;_x000D_
03 PAPA-CAPIM;_x000D_
E 01 COLEIRINHA.","Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,I, Código Penal"
"MS","Corumbá",13/03/2015,"10 KG (DEZ QUILOGRAMAS) DE RAÇÃO PARA AVES;10 KG (DEZ QUILOGRAMAS) DE RAÇÃO PARA AVES;25 (VINTE E CINCO) GAIOLAS PARA PÁSSAROS;25 (VINTE E CINCO) GAIOLAS PARA PÁSSAROS;550 (QUINHENTOS E CINQUENTA) PÁSSAROS;550 (QUINHENTOS E CINQUENTA) PÁSSAROS","Art.288, Código Penal;Art.288, Código Penal;Art.288, Código Penal;Art.31, Lei 9605/1998;Art.31, Lei 9605/1998;Art.31, Lei 9605/1998"
"RO","Guajará-Mirim",15/03/2015,"JACARÉS PROVENIENTES DE CAÇA ILEGAL NO RIO MAMORÉ.;JACARÉS PROVENIENTES DE CAÇA ILEGAL NO RIO MAMORÉ.;TRÊS JACARÉS SILVELTRES DE DIFERENTES TAMANHOS","Art.14, Lei 10826/2003;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998"
"DF","Brasília",17/03/2015,"DIVERSAS PENAS DE AVES DE ORIGEM DA FAUNA BRASILEIRA.","Art.29, Lei 9605/1998"
"SP","São Paulo",31/03/2015,"02 PATATIVAS CHORONA_x000D_
01 BICUDINHO_x000D_
06 CURIÓS_x000D_
05 CANÁRIOS DA TERRA_x000D_
05 BICUDOS_x000D_
20 PICHARROS_x000D_
01 SABIÁ-GONGÁ_x000D_
01 BICO-DE-PIMENTA_x000D_
14 SABIÁS-PARDO_x000D_
01 SABIÁ-LARANJEIRA_x000D_
;02 PATATIVAS CHORONA_x000D_
01 BICUDINHO_x000D_
06 CURIÓS_x000D_
05 CANÁRIOS DA TERRA_x000D_
05 BICUDOS_x000D_
20 PICHARROS_x000D_
01 SABIÁ-GONGÁ_x000D_
01 BICO-DE-PIMENTA_x000D_
14 SABIÁS-PARDO_x000D_
01 SABIÁ-LARANJEIRA_x000D_
;02 PATATIVAS CHORONA_x000D_
01 BICUDINHO_x000D_
06 CURIÓS_x000D_
05 CANÁRIOS DA TERRA_x000D_
05 BICUDOS_x000D_
20 PICHARROS_x000D_
01 SABIÁ-GONGÁ_x000D_
01 BICO-DE-PIMENTA_x000D_
14 SABIÁS-PARDO_x000D_
01 SABIÁ-LARANJEIRA_x000D_
","Art.29,§1°,3, Lei 9605/1998;Art.296,§1°,3, Código Penal;Art.32,§1°, Lei 9605/1998"
"MS","Corumbá",01/04/2015,"QUATROCENTOS E VINTE PÁSSAROS CANÁRIOS ACONDICIONADOS EM OITO SACOLAS COM VINTE E UMA GAIOLAS, CONFORME APREENSÃO 032015-RECEITA FEDERAL.;QUATROCENTOS E VINTE PÁSSAROS CANÁRIOS ACONDICIONADOS EM OITO SACOLAS COM VINTE E UMA GAIOLAS, CONFORME APREENSÃO 032015-RECEITA FEDERAL.;QUATROCENTOS E VINTE PÁSSAROS CANÁRIOS ACONDICIONADOS EM OITO SACOLAS COM VINTE E UMA GAIOLAS, CONFORME APREENSÃO 032015-RECEITA FEDERAL.","Art.29, Lei 9605/1998;Art.31, Lei 9605/1998;Art.32, Lei 9605/1998"
"RO","Guajará-Mirim",23/04/2015,"06 (SEIS) QUELÔNIOS (TARTARUGAS), VIVAS E DE TAMANHOS VARIADOS.;06 (SEIS) QUELÔNIOS (TARTARUGAS), VIVAS E DE TAMANHOS VARIADOS.","Art.14, Lei 10826/2003;Art.29, Lei 9605/1998"
"RS","Santana do Livramento",30/04/2015,"11 CARCAÇAS DE CAPIVARAS EVISCERADAS E SEM A CABEÇA, ENTRE FILHOTES E ADULTOS.;11 CARCAÇAS DE CAPIVARAS EVISCERADAS E SEM A CABEÇA, ENTRE FILHOTES E ADULTOS.","Art.29, Lei 9605/1998;Art.29,§4°,V, Lei 9605/1998"
"ES","São Mateus",01/05/2015,"UM ANIMAL SILVESTRE, CONHECIDO COMO PACA,","Art.29, Lei 9605/1998"
"PE","Salgueiro",07/05/2015,"UM ANIMAL SILVESTRE CONHECIDO COMO ""QUATI"", SEM LICENÇA, EM UMA GAIOLA.;UM ANIMAL SILVESTRE CONHECIDO COMO ""QUATI"", SEM LICENÇA, EM UMA GAIOLA.","Art.16, Lei 10826/2003;Art.29, Lei 9605/1998"
"SP","Ribeirão Preto",15/05/2015,"PÁSSARO TRINCA FERRO - CONFORME ITEM 41 DO TERMO DE APREENSÃO DA PM 4310;PÁSSARO TRINCA FERRO - CONFORME ITEM 41 DO TERMO DE APREENSÃO DA PM 4310","Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,III, Código Penal"
"SP","São Paulo",15/05/2015,"03 AVES DA FAUNA SILVESTRE DE NOME AZULÃO  - VERDADEIRO (CYANOLAXIA BRISSONII);03 AVES DA FAUNA SILVESTRE DE NOME AZULÃO  - VERDADEIRO (CYANOLAXIA BRISSONII);AVES DA FAUNA SILVESTRE DE NOME CANÁRIO - DA TERRA (SICALIS FLAVEOLA);AVES DA FAUNA SILVESTRE DE NOME CANÁRIO - DA TERRA (SICALIS FLAVEOLA);AVES DA FAUNA SILVESTRE DE NOME CARDEAL (PAROARIA CORONATA);AVES DA FAUNA SILVESTRE DE NOME CARDEAL (PAROARIA CORONATA);AVES DA FAUNA SILVESTRE DE NOME COLEIRINHO - PAPA - CAPIM (SPOROPHIA CAERULISCENS);AVES DA FAUNA SILVESTRE DE NOME COLEIRINHO - PAPA - CAPIM (SPOROPHIA CAERULISCENS);AVES DA FAUNA SILVESTRE DE NOME CURRUPIÃO (ICTERUS JAMACAII);AVES DA FAUNA SILVESTRE DE NOME CURRUPIÃO (ICTERUS JAMACAII);AVES DA FAUNA SILVESTRE DE NOME GALO - DE - CAMPINA (PAROARIA DOMINICANA);AVES DA FAUNA SILVESTRE DE NOME GALO - DE - CAMPINA (PAROARIA DOMINICANA);AVES DA FAUNA SILVESTRE DE NOME PÁSSARO - PRETO(GNORIMOPSAR CHOPI);AVES DA FAUNA SILVESTRE DE NOME PÁSSARO - PRETO(GNORIMOPSAR CHOPI);AVES DA FAUNA SILVESTRE DE NOME SABIÁ - LARANJEIRA (TURDUS RUFIVENTRIS);AVES DA FAUNA SILVESTRE DE NOME SABIÁ - LARANJEIRA (TURDUS RUFIVENTRIS);AVES DA FAUNA SILVESTRE DE NOME SABIÁ - PARDO (TURDUS LEUCOMELAS);AVES DA FAUNA SILVESTRE DE NOME SABIÁ - PARDO (TURDUS LEUCOMELAS);AVES DA FAUNA SILVESTRE DE NOME TICO - TICO (ZONOTRICHIA CAPENSIS);AVES DA FAUNA SILVESTRE DE NOME TICO - TICO (ZONOTRICHIA CAPENSIS);AVES DA FAUNA SILVESTRE DE NOME TRINCA - FERRO (SALTATOR SIMILIS);AVES DA FAUNA SILVESTRE DE NOME TRINCA - FERRO (SALTATOR SIMILIS)","Art.29,§1°,3, Lei 9605/1998;Art.29,§1°,3, Lei 9605/1998;Art.29,§1°,3, Lei 9605/1998;Art.29,§1°,3, Lei 9605/1998;Art.29,§1°,3, Lei 9605/1998;Art.29,§1°,3, Lei 9605/1998;Art.29,§1°,3, Lei 9605/1998;Art.29,§1°,3, Lei 9605/1998;Art.29,§1°,3, Lei 9605/1998;Art.29,§1°,3, Lei 9605/1998;Art.29,§1°,3, Lei 9605/1998;Art.296,§1°,3, Código Penal;Art.296,§1°,3, Código Penal;Art.296,§1°,3, Código Penal;Art.296,§1°,3, Código Penal;Art.296,§1°,3, Código Penal;Art.296,§1°,3, Código Penal;Art.296,§1°,3, Código Penal;Art.296,§1°,3, Código Penal;Art.296,§1°,3, Código Penal;Art.296,§1°,3, Código Penal;Art.296,§1°,3, Código Penal"
"SP","Presidente Prudente",10/06/2015,"DOIS ANIMAIS SILVESTRES, APARENTEMENTE PÁSSAROS DA ESPÉCIES CURIÓS (ORYZOBORUS ANGOLENSIS).","Art.29, Lei 9605/1998"
"SP","São Paulo",16/06/2015,"DOIS PÁSSAROS PINTASSILGO DE CABEÇA PRETA, IDENTIFICADOS COM AS ANILHAS IBAMA OA 2,4 117005 E IBAMA 0405 2,4 044243.;DOIS PÁSSAROS PINTASSILGO DE CABEÇA PRETA, IDENTIFICADOS COM AS ANILHAS IBAMA OA 2,4 117005 E IBAMA 0405 2,4 044243.;DOIS PÁSSAROS PINTASSILGO DE CABEÇA PRETA, IDENTIFICADOS COM AS ANILHAS IBAMA OA 2,4 117005 E IBAMA 0405 2,4 044243.;DOIS PÁSSAROS PINTASSILGO DE CABEÇA PRETA, IDENTIFICADOS COM AS ANILHAS IBAMA OA 2,4 117005 E IBAMA 0405 2,4 044243.;PÁSSARO PICHARRO SEM ANILHA.;PÁSSARO PICHARRO SEM ANILHA.;PÁSSARO PICHARRO SEM ANILHA.;PÁSSARO PICHARRO SEM ANILHA.;PÁSSARO PINTASSILGO, IDENTIFICADO COM A ANILHA IBAMA OA 2,4 117011.;PÁSSARO PINTASSILGO, IDENTIFICADO COM A ANILHA IBAMA OA 2,4 117011.;PÁSSARO PINTASSILGO, IDENTIFICADO COM A ANILHA IBAMA OA 2,4 117011.;PÁSSARO PINTASSILGO, IDENTIFICADO COM A ANILHA IBAMA OA 2,4 117011.;PÁSSARO SABIÁ LARANJEIRA, SEM ANILHA.;PÁSSARO SABIÁ LARANJEIRA, SEM ANILHA.;PÁSSARO SABIÁ LARANJEIRA, SEM ANILHA.;PÁSSARO SABIÁ LARANJEIRA, SEM ANILHA.;PÁSSARO SÁBIA LARANJEIRA, COM APARÊNCIA DE MAUS TRATADOS, ANILHADO, PORÉM NÃO FOI POSSÍVEL IDENTIFICAR A ANILHA PARA PRESERVAÇÃO DO ANIMAL.;PÁSSARO SÁBIA LARANJEIRA, COM APARÊNCIA DE MAUS TRATADOS, ANILHADO, PORÉM NÃO FOI POSSÍVEL IDENTIFICAR A ANILHA PARA PRESERVAÇÃO DO ANIMAL.;PÁSSARO SÁBIA LARANJEIRA, COM APARÊNCIA DE MAUS TRATADOS, ANILHADO, PORÉM NÃO FOI POSSÍVEL IDENTIFICAR A ANILHA PARA PRESERVAÇÃO DO ANIMAL.;PÁSSARO SÁBIA LARANJEIRA, COM APARÊNCIA DE MAUS TRATADOS, ANILHADO, PORÉM NÃO FOI POSSÍVEL IDENTIFICAR A ANILHA PARA PRESERVAÇÃO DO ANIMAL.;PÁSSAROS COLEIRINHA, SEM ANILHAS.;PÁSSAROS COLEIRINHA, SEM ANILHAS.;PÁSSAROS COLEIRINHA, SEM ANILHAS.;PÁSSAROS COLEIRINHA, SEM ANILHAS.;PÁSSAROS PICHARRO IDENTIFICADOS COM AS ANILHAS SISPASS 3,5 SPA 016111 E IBAMA OA 3,5 605489.;PÁSSAROS PICHARRO IDENTIFICADOS COM AS ANILHAS SISPASS 3,5 SPA 016111 E IBAMA OA 3,5 605489.;PÁSSAROS PICHARRO IDENTIFICADOS COM AS ANILHAS SISPASS 3,5 SPA 016111 E IBAMA OA 3,5 605489.;PÁSSAROS PICHARRO IDENTIFICADOS COM AS ANILHAS SISPASS 3,5 SPA 016111 E IBAMA OA 3,5 605489.;PÁSSAROS PINTASSILGO DE CABEÇA PRETA, SEM ANILHAS.;PÁSSAROS PINTASSILGO DE CABEÇA PRETA, SEM ANILHAS.;PÁSSAROS PINTASSILGO DE CABEÇA PRETA, SEM ANILHAS.;PÁSSAROS PINTASSILGO DE CABEÇA PRETA, SEM ANILHAS.","Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.32, Lei 9605/1998;Art.32, Lei 9605/1998;Art.32, Lei 9605/1998;Art.32, Lei 9605/1998;Art.32, Lei 9605/1998;Art.32, Lei 9605/1998;Art.32, Lei 9605/1998;Art.32, Lei 9605/1998;Art.56, Lei 9605/1998;Art.56, Lei 9605/1998;Art.56, Lei 9605/1998;Art.56, Lei 9605/1998;Art.56, Lei 9605/1998;Art.56, Lei 9605/1998;Art.56, Lei 9605/1998;Art.56, Lei 9605/1998"
"SP","Jales",23/06/2015,"01 (UM) SABIÁ-LARANJEIRA (TURDUS-RUFIVENTRIS);01 (UM) SABIÁ-LARANJEIRA (TURDUS-RUFIVENTRIS)","Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,III, Código Penal"
"CE","Fortaleza",21/07/2015,"UMA ARARA VERMELHA","Art.29, Lei 9605/1998"
"AM","Tabatinga",23/07/2015,"2 (DOIS) PORCOS DO MATO E 1 (UMA) PACA.;2 (DOIS) PORCOS DO MATO E 1 (UMA) PACA.;2 (DOIS) PORCOS DO MATO E 1 (UMA) PACA.","Art.29,III, Lei 9605/1998;Art.334-A,§1°,II, Código Penal;Art.334-A,§3°, Código Penal"
"ES","São Mateus",03/08/2015,"01 (UM) ANIMAL SILVESTRE.;01 (UM) ANIMAL SILVESTRE.;01 (UM) ANIMAL SILVESTRE.","Art.14, Lei 10826/2003;Art.29,§4°,V, Lei 9605/1998;Art.52, Lei 9605/1998"
"RR","Pacaraima",07/08/2015,"UM CASAL DE IGUANAS.","Art.29, Lei 9605/1998"
