"estabelecimento","total gasto"
"RA CATERING LTDA - THE COLLECTION-CUMBICA SP","464817,93"
"RA CATERING LTDA-THE COLLECTION CUMBICA SP","232359,21"
"TOLEDO JR LANCHES LTDA",145213
"GATE GOURMET LTDA","142337,96"
"CATERAIR SERVIÇOS DE BORDO E HOTELARIA S/A","129169,7"
"RESTAURANTE DO AEROPORTO LTDA AEROPORTO DE CONGONH","120992,59"
"RESTAURANTE BANDEIRANTES DO CASTELO LTDA","108848,8"
"LANCHONETE TONY E THAIS LTDA. ME",102625
"BAHIA CATERING LTDA (LSG SKY CHEFS)","73913,33"
"CIA BRAS DE DISTRIB. - EXTRA","66020,71"
"TOLETO GRIL RESTAURANTE LTDA","57730,5"
"BERNARDUS RESTAURANTE LTDA-ME","55642,22"
"COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO","52853,8700000001"
"AMAZON CATERING LTDA","49964,71"
"SERVCATER INTERNACIONAL LTDA","47383,04"
"SANFERNANDO ALIMENTOS LTDA","46918,5"
"CARREFOUR COM E INDUSTRIA LTDA","42072,33"
"CARREFOUR COMÉRCIO E INDÚSTRIA LTDA","40585,85"
"MARCIA DE SOUZA BATISTA","35353,03"
"CATERAIR SERVIÇOS DE BORDO","35338,11"
"CARREFOUR COMERCIO E INDUSTRIA LTDA","30599,43"
"NOVA VITÓRIA RÉGIA LTDA. EPP",26204
"CHURRASCARIA E RESTAURANTE ANDI LTDA","26120,4"
"ZEN CONFEITARIA","25688,3"
"SUPERMERCADOS DB LTDA","25034,27"
"RA CATERING LTDA","24808,04"
"TAPIRI IND. E COMÉRCIO ALIMENTÍCIOS LTDA","24180,71"
"BAR IMPERATOR LTDA","23858,46"
"NOVA RIOTEL EMPREENDIMENTOS HOTELEIROS LTDA","23508,5"
"NATAL CATERING LTDA","21383,23"
"CANAJUARA BAR CHOP. E RESTAURANTE LTDA - ME",20672
"PANIFICADORA LA PLAGE LTDA","20351,52"
"TATIANA DE CASSTRO - ME (A CANTINA)","19827,3"
"CAFES FINOS NATAL LTDA","19632,67"
"SANTOS E LACERDA COMERCIAL LTDA EPP","19225,2"
"RESTAURANTE AEROPORTO CARIOCA LTDA","18558,1"
"VIVEL COMERCIO E DIST LTDA ME MEE - REDE SHOW","18492,97"
"SERRA VERMELHA RESTAURANTE E BAR LTDA",18216
"IZABEL DE GODOY - EPP","17535,66"
"BOMPREÇO SUPERMERCADOS DO NORDESTE LTDA","17296,64"
"PANIFICIUM COMERCIAL LTDA",16389
"G. BARBOSA COMERCIAL LTDA","16261,58"
"V. ROMANELLI & CIA LTDA","16161,7"
"RA SERVICES LTDA","14651,65"
"RESTAURANTE E BAR NOVA TABERNA DA GLORIA LTDA","14487,8"
"COMPANHIA HOTÉIS PALACE","13446,23"
"WAL-MART BRASIL LTDA","13322,1"
"RESTAURANTE E BAR AMARELINHO DA GLÓRIA LTDA","13287,2"
"CIA TRANSAMÉRICA DE HOTÉIS - SÃO PAULO","13277,5"
"CIA TROPICAL DE HOTEIS AMAZONIA","13167,6"
"MARIA SUELY SOUZA JARDIM - ME",12974
"CHURRASCARIA RODEIO",12872
"FABRIL RIO ALIMENTAÇÃO E EVENTOS LTDA",12826
"KEDMA E. DA S. RODRIGUES PANIFICAÇÃO",12794
"ALINE FERNANDA RODRIGUES",12792
"SENDAS DISTRIBUIDORA S.A","12615,97"
"D&A ALEMÃOZINHO RESTAURANTE LTDA",11709
"SUPERMERCADO CARDOSO LTDA","11565,84"
"SUPERMERCADO COPERNORTE","11482,23"
"CATERSUL ALIMENTAÇÃO LTDA","11343,43"
"SGORLA COMÉRCIO E INDÚSTRIA DE ALIMENTOS LTDA","11339,5"
"LANCHONETE IRAES LTDA- LANCH TONY E THAIS","11076,5"
"PAO DE AÇUCAR","10789,21"
"CAFES FINOS FORTALEZA LTDA","10498,75"
"BOI NA BRASA COMERCIO LTDA",10145
"TRES G. S. COMÉRCIO E DISTRIBUIÇÃO DE GENEROS ALIMENTÍCIOS LTDA","9509,02"
"NADJA NAIDE SILVA LIRA",9479
"EMPREENDIMENTOS SUL CEARENSE DE HOTEIS E TURISMO S A","9321,94"
"BOMPREÇO BAHIA S.A.","9303,78"
"SAMANTHA GUEDES EVENTOS CULINÁRIOS LTDA",9300
"MCDONALD'S COMÉRCIO DE ALIMENTOS LTDA","9253,6"
