"estabelecimento","total gasto"
"CIA. INDUSTRIAL DE GRANDES HOTÉIS - HOTEL GLÓRIA","883145,39"
"BOURBON IBIRAPUERA HOTEL & CONVENTION","752470,789999986"
"ABACO SCP SAINT MORITZ","733058,020000009"
"SAUIPE S.A - SAUIPE PARK",569531
"NOVA RIOTEL EMPREENDIMENTOS HOTELEIROS LTDA","423786,030000001"
"SAINT MORITZ HOT. ACCOR BRASIL S.A.","400635,77"
"PREDIAL E ADMINISTRADORA  HOTEIS PLAZA S/A-SAN RAFAEL","360715,31"
"CIA TROPICAL DE HOTEIS AMAZONIA","344015,469999999"
"PAULISTA PRAIA HOTEL S/A","328751,15"
"TIMES SQUARE HOT. ACCOR BRASIL S.A","325964,419999999"
"COMPANHIA HOTÉIS PALACE","280886,88"
"BRASILTON BELÉM HOTÉIS E TURISMO S.A.","255921,85"
"HOTÉIS OTHON S/A","244788,31"
"ROYALTY BARRA HOTEL","189278,9"
"PESTANA RIO ATLANTICA HOTEL","180494,02"
"LA HOTELS EMPREENDIMENTOS 2 LTDA-GOLDEN TULIP REGENTE","174637,13"
"MAQUINÉ EMPREENDIMENTOS S/A","168743,46"
"HOTEL DELLA VOLPE LTDA - GOLDEN TULIP REGENTE","149572,1"
"ESTANPLAZA ADMINISTRADORA HOTELARIA E COMERCIAL LT","145963,86"
"NOVOTEL JARAGUA SÃO PAULO CONVENTIONS","134521,01"
"HOTELARIA ACCOR BRASIL S/A","133513,92"
"HOTEL NOVO MUNDOLTDA","128991,27"
"HOTEL ILHA DE SANTO AMARO LTDA - STRAND","128222,68"
"HOTEL BOURBON DE CURITIBA LTDA","123223,88"
"DIVISO EMPREENDIMENTOS HOTELEIROS S/A","121792,26"
"LUCSIM HOTÉIS LTDA","119668,96"
"LUXOR HOTEIS TURISMO S.A","118164,9"
"HOLIDAY INN PARQUE ANHEMBI SÃO PAULO","114629,88"
"SOL INVEST HOTEL JARAGUÁ LTDA","111726,94"
"PESTANA - BAHIAINVEST INVESTIMENTOS TURÍSTICOS LTDA","111093,2"
"BLUE TREE CONVENTION","109251,44"
"GRAND HOTEL CADORO - INDÚSTRIA DE HOTÉIS GUZZONI S/A",101084
"LAHOTELS EMPREENDIMENTOS 2 LTDA","100396,23"
