"NUM_CNPJ_CPF","NOM_FORNECEDOR","MUNICIPIO","UF","NUM_FISCAL","DAT_NOTA_FISCAL","VLR_NOTA","CATEGORIA","LOCAL ","UF LOCAL DA VIAGEM","DAT_INI","DAT_FIM","DSC_OBJETO_EVENTO"
"04174787000169","TOLEDO JR LANCHES LTDA","RIO DE JANEIRO","RJ","25",13/01/2011,1710,"FORNECIMENTO DE ALIMENTAÇÃO","RIO DE JANEIRO","RJ",12/01/2011,13/01/2011,"Sobrevôo e visita das áreas alagadas na Região Serrana do Rio de Janeiro."
"01782068000132","PAPOO LANCHES E REFEIÇÕES LTDA","PORTO ALEGRE","RS","11161",15/01/2011,"37,6","FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"90452863000192","ZAFFANELLI E FREITAS LTDA","PORTO ALEGRE","RS","006597",15/01/2011,"28,6","FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"01782068000132","PAPOO LANCHES E REFEIÇÕES LTDA","PORTO ALEGRE","RS","11164",16/01/2011,"36,6","FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218137",16/01/2011,"63,36","FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"09383270000101","DIETRIZ ALIMENTOS LTDA - EPP","SÃO PAULO","SP","236",24/01/2011,612,"FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",23/01/2011,25/01/2011,"Cerimônia de entrega da ""Medalha 25 de Janeiro"" a Jose Alencar Gomes da Silva, Vice-Presidente da República."
"07363122000191","LANCHONETE TONY E THAIS LTDA. ME","SÃO PAULO","SP","4791",25/01/2011,1309,"FORNECIMENTO DE ALIMENTAÇÃO","SÃO PAULO","SP",23/01/2011,25/01/2011,"Cerimônia de entrega da ""Medalha 25 de Janeiro"" a Jose Alencar Gomes da Silva, Vice-Presidente da República."
"87397865000111","PGL DISTRIBUIÇÃO DE ALIMENTOS LTDA MODERNA","BAGÉ","RS","5034",26/01/2011,"3728,57","GENEROS DE ALIMENTAÇÃO","CANDIOTA","RS",25/01/2011,28/01/2011,"Cerimônia de Inauguração da Usina Termelétrica Candiota 3-Fase C. Evento can- celado."
"94629334000172","BRESCIA ALIMENTOS LTDA-PÃO NO CESTO","PORTO ALEGRE","RS","11392",27/01/2011,3146,"FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",25/01/2011,27/01/2011,"Celebração do Dia Internacional do Holocausto."
"88548011000151","TOB'S LANCHES SUL LTDA","PORTO ALEGRE","RS","301651",27/01/2011,"133,01","FORNECIMENTO DE ALIMENTAÇÃO","PORTO ALEGRE","RS",25/01/2011,27/01/2011,"Celebração do Dia Internacional do Holocausto."
