"NUM_CNPJ_CPF","NOM_FORNECEDOR","MUNICIPIO","UF","NUM_FISCAL","DAT_NOTA_FISCAL","VLR_NOTA","CATEGORIA","LOCAL ","UF LOCAL DA VIAGEM","DAT_INI","DAT_FIM","DSC_OBJETO_EVENTO"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218079",16/01/2011,"474,6","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218085",16/01/2011,"474,6","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218091",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218103",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218094",16/01/2011,"474,6","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218078",16/01/2011,"474,6","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218083",16/01/2011,"474,6","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218096",16/01/2011,"474,6","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218092",16/01/2011,"474,6","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218076",16/01/2011,"474,6","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218077",16/01/2011,"474,6","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218073",16/01/2011,"474,6","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218098",16/01/2011,"474,6","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218086",16/01/2011,"474,6","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218101",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218087",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218097",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218105",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218075",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218100",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218093",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218084",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218082",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218090",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218102",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218099",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218074",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218104",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218095",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"66542002002245","BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","PORTO ALEGRE","RS","218089",16/01/2011,"711,9","HOSPEDAGENS","PORTO ALEGRE","RS",13/01/2011,16/01/2011,"AGENDA PARTICULAR"
"07037213000137","JDVB ADM E HOT LTDA - ARENA COPACABANA HOTEL","RIO DE JANEIRO","RJ","8536",17/01/2011,"10129,45","HOSPEDAGENS","RIO DE JANEIRO","RJ",12/01/2011,13/01/2011,"Sobrevôo e visita das áreas alagadas na Região Serrana do Rio de Janeiro."
"08998246000106","BOURBON IBIRAPUERA HOTEL & CONVENTION","SÃO PAULO","SP","294878",26/01/2011,"489,3","HOSPEDAGENS","SÃO PAULO","SP",23/01/2011,25/01/2011,"Cerimônia de entrega da ""Medalha 25 de Janeiro"" a Jose Alencar Gomes da Silva, Vice-Presidente da República."
"08998246000106","BOURBON IBIRAPUERA HOTEL & CONVENTION","SÃO PAULO","SP","294879",26/01/2011,"244,65","HOSPEDAGENS","SÃO PAULO","SP",23/01/2011,25/01/2011,"Cerimônia de entrega da ""Medalha 25 de Janeiro"" a Jose Alencar Gomes da Silva, Vice-Presidente da República."
"09967852013539","NOVOTEL JARAGUA SÃO PAULO CONVENTIONS","SÃO PAULO","SP","222458",26/01/2011,"501,9","HOSPEDAGENS","SÃO PAULO","SP",23/01/2011,25/01/2011,"Cerimônia de entrega da ""Medalha 25 de Janeiro"" a Jose Alencar Gomes da Silva, Vice-Presidente da República."
"09967852013539","NOVOTEL JARAGUA SÃO PAULO CONVENTIONS","SÃO PAULO","SP","222459",26/01/2011,"501,9","HOSPEDAGENS","SÃO PAULO","SP",23/01/2011,25/01/2011,"Cerimônia de entrega da ""Medalha 25 de Janeiro"" a Jose Alencar Gomes da Silva, Vice-Presidente da República."
"08998246000106","BOURBON IBIRAPUERA HOTEL & CONVENTION","SÃO PAULO","SP","294877",26/01/2011,"244,65","HOSPEDAGENS","SÃO PAULO","SP",23/01/2011,25/01/2011,"Cerimônia de entrega da ""Medalha 25 de Janeiro"" a Jose Alencar Gomes da Silva, Vice-Presidente da República."
"09967852013539","NOVOTEL JARAGUA SÃO PAULO CONVENTIONS","SÃO PAULO","SP","222460",26/01/2011,"501,9","HOSPEDAGENS","SÃO PAULO","SP",23/01/2011,25/01/2011,"Cerimônia de entrega da ""Medalha 25 de Janeiro"" a Jose Alencar Gomes da Silva, Vice-Presidente da República."
"09967852013539","NOVOTEL JARAGUA SÃO PAULO CONVENTIONS","SÃO PAULO","SP","222462",26/01/2011,"501,9","HOSPEDAGENS","SÃO PAULO","SP",23/01/2011,25/01/2011,"Cerimônia de entrega da ""Medalha 25 de Janeiro"" a Jose Alencar Gomes da Silva, Vice-Presidente da República."
