"estabelecimento","total"
"TOLEDO JR LANCHES LTDA","320496,5"
"LANCHONETE TONY E THAIS LTDA. ME",89513
"SANFERNANDO ALIMENTOS LTDA","60787,2"
"BRESCIA ALIMENTOS LTDA-PÃO NO CESTO","47823,25"
"RIO VERMELHO PADARIA E CONVENIÊNCIA LTDA-ME",32448
"CIA BRAS DE DISTRIB. - EXTRA","30748,07"
"J NETO E CIA LTDA",30434
"RICARDO RUFINO CECILIO - ME",28550
"TOLETO GRIL RESTAURANTE LTDA",25066
"LAZAR COMÉRCIO DE ALIMENTOS E SERVIÇOS HOTELEIROS LTDA","22634,6"
"ANTONINO CESAR DE MORAES BATISTA E CIA LTDA",17640
"PANIFICADORA SENHOR DO BOMFIM LTDA EPP",17340
"PANIFICADORA EXCELÊNCIA LTDA ME",17240
"BAR E RESTAURANTE POMPEU",16463
"VITAPAO INDUSTRIA E COMÉRCIO PANADERIL LTDA",15390
"RESTAURANTE DOS BOMBEIROS LTDA-GARCIAS GRILL",14426
"RESTAURANTE TIA JOANINHA LTDA","13916,98"
"PLÍNIO ARIEL DA SILVA CARVALHO - ME",13592
"SILVINO LOPES DA SILVA - ME",13370
"RESTAURANTE E LANCHERIA NOVO ARCOVERDE LTDA",11442
"BERTELL HOTEIS DE TURISMO LTDA",11278
"ZAGO E PUERTAS LTDA",10982
"NORMA RODRIGUES DA SILVA - ME",10126
"RILLO & SOUZA LTDA - ME","10081,5"
"SCHLICK PÃES LTDA","10045,5"
"OLIVEIRA E BARROS LTDA-EPP","9970,2"
"ELIZEU SILVA DE LIMA ME",9730
"MOREIRA & CHUEIRI LTDA",9598
"COOPERATIVA AGROINDUSTRIAL ALFA","9506,56"
"PALACE GOURMET RESTAURANTE LTDA",9369
"BONFIM PRODUTOS ALIMENTÍCIOS LTDA","9308,9"
"JOSÉ EDIVALDO SOUZA",9261
"PADARIA E CONFEITARIA ESQUINA DO PÃO LTDA - ME",8680
"EXTRA ATACADÃO S.A","8351,19"
"CHURRASCARIA GARCIAS LTDA.",8336
"ASSAGIO PRESTINARIA, PADARIA E CONFEITARIA LTDA - EPP","8321,82"
"PANIFICADORA UMARIZAL LTDA",7900
"SUPERMERCADO TEJOTÃO DE ARAGUARI LTDA","7847,19"
"PANIFICADORA E CONFEITARIA A REAL LTDA","7814,1"
"NEUZUITE AGUIAR DOS SANTOS PINTO - ME",7780
