"local","gasto total"
"BLUE TREE FARIA LIMA","426136,3"
"BOURBON IBIRAPUERA HOTEL & CONVENTION","234086,47"
"GOLDEN TOWER HOTEIS E TURISMO LTDA","218030,07"
"WINDSOR ADMINISTRACAO DE HOTEIS E SERVIÇOS LTDA","170426,29"
"PESTANA RIO ATLANTICA HOTEL","133427,7"
"BLUE TREE HOTELS & RESORTS DO BRASIL S/A-MILLENIUM FLAT","71648,25"
"BHG IMOBILIÁRIA HOTELARIA E TURISMO S.A.","71268,12"
"HOTÉIS OTHON S/A","61258,2"
"BT PAULISTA HOTEIS LTDA","60515,7"
"WINDSOR BARRA HOTEL LTDA","54424,76"
"CATUSSABA RESORT HOTEL LTDA",54000
"TIMES SQUARE HOT. ACCOR BRASIL S.A","49899,15"
"CIA TRANSAMÉRICA DE HOTÉIS - SÃO PAULO",49056
"BT VERBO DIVINO HOTEIS LTDA","48994,75"
"HOTELARIA ACCOR BRASIL S/A","44323,6"
"IPE CENTER HOTEL LTDA",41809
"P. 1. ADMINISTRAÇÃO EM COMPLEXOS IMOBILIARIOS LTDA","40334,8"
"HOTEL ATLANTICO RIO LTDA EPP",37800
"HOTEL BELVEDERE LTDA.",34385
"RENAISSANCE DO BRASIL HOTELARIA LTDA","32609,84"
"MENDES HOTEIS TURISMO E ADMINISTRADORA LTDA","31346,64"
"MORUBI HOTEIS","30941,36"
"HOTEL PORTO DE ITACURUÇA LTDA E OUTRA",29987
"LORENATUR HOTEL LTDA","28251,3"
"L A P ADMINISTRADORA DE IMOVEIS LTDA - ME","27601,6"
"HM HOTEIS E TURISMO SA","26426,84"
"VERDES VALES LAZER HOTEL","26270,25"
"BT MILLENIUM HOTÉIS LTDA",25628
"GJP ADMINISTRADORA DE HOTEIS LTDA","24460,95"
"HOTEL ATLANTICO COPACABANA LTDA",24255
"IMO.OITO EMPREENDIMENTOS E PARTICIPAÇÕES","23799,99"
"CENTRO DE ADESTRAMENTO DA MARAMBAIA (CADIM)",23520
"E. ROCHA BESSA",23100
"SOTEL HOTELARIA LTDA","22874,8"
"PROMENADE ITAGUAÍ","22373,18"
"VIVAH HOTEL LTDA","21518,5"
"BRASTURINVEST INVESTIMENTOS TURISTICOS S/A","20235,6"
"CASTEL PLAZA HOTEL",20050
"ITU PLAZA HOTEL LTDA",19717
"METROPOLITAN HOTEL LTDA","19370,4"
"BRASILTON BELÉM HOTÉIS E TURISMO S.A.","18928,35"
"NOBILE GESTÃO DE EMPREENDIMENTOS LTDA","18742,5"
"O. P. ALVES VASCONCELOS HOTEL EIRELI ME","18679,5"
"WISH RESORT GOLG CONVENTION",18450
"HOTELARIA ACCOR BRASIL S.A",17577
"PRODOMUS ADMINISTRAÇÃO HOTELEIRA LTDA","17234,7"
"LA HOTELS EMPREENDIMENTOS 1 LTDA","17188,5"
"LANG PALACE HOTEL","16816,84"
"BR FLORIANOPOLIS LTDA","16783,35"
"GRAN MARQUISE EMPREENDIMENTOS S.A","16741,2"
"HOTEL CHAPADÃO DA CANASTRA LTDA-ME",16590
"RICARDO RUFINO CECILIO - ME",16400
"REDE DOMUS HOTEL LTDA - ME",15984
"PAULISTA PRAIA HOTEL S/A",15330
"HOTEL AREIA BRANCA LTDA",15080
"MUSEU APART HOTEL ADMINISTRA¿¿O DE BENS LTDA",14973
"HOTEL PACARAIMA - RR",14910
"PAULISTA PRAIA HOTEL SA","14752,5"
"NOBILE RIBEIRAO PRETO","14700,4"
"GHR PARTICIPAÇÕES E EMPREENDIMENTOS TURISMO LTDA","14636,48"
"GOLDEN VILLE HOTEL LTDA - EPP",14425
"AQUARIOS PRAIA HOTEL",13540
"GAMA EMPRENDIMENTOS HOTELEIROS LTDA","13318,2"
"RAMADA PLAZA CURITIBA RAYON LTDA",13041
"HOTEL DAN INN BARRETOS LTDA",12860
"ZELIA REGINALDO DOS SANTOS AURELIO EPP",12800
"HOTEL JWF LIMEIRA LTDA - ME",12595
"WINDSOR ADMINISTRAÇÃO DE HOTEIS E SERVIÇOS LTDA","12549,32"
"IRMÃOS PINHEIRO HOTEIS E TURISMO LTDA.",12196
"LIVIA GARCIA MARTINS HONORATO EIRELI ME",11955
"WINDSOR ADMINISTRAÇÃO DE HOTÉIS E SERVIÇOS LTDA","11850,3"
"MARBOR COMERCIO E SERV. HOTELEIROS LTDA","11750,4"
"BELEM HOTEIS E TURISMO S/A","11677,05"
"SAN SABINO EMPREENDIMENTOS HOTELEIROS","11638,2"
"MARTINELLO&BOMBONATTO LTDA EPP",11532
"TRANSAMERICA COMERCIAL E SERVIÇOS LTDA - SCP",11258
"ARCO ADM LTDA - SAN DIEGO FLAT",11235
"LUCSIM HOTEIS LTDA",10962
"MAESTRO PREMIUM HOTEL EIRELI - EPP",10940
"HAVANA PALACE HOTEL LTDA",10620
"BRII HOTEL LTDA",10610
"BRASTURINVEST INV TURISTICOS S/A - PESTANA","10481,1"
"HOTEL SIR LTDA","10417,5"
"PONTA VERDE LTDA",10129
"FLORENÇA HOTEL LTDA","10119,75"
"SALGUEIRO PLAZA HOTEL LTDA - ME",9920
"CARLOS ALBERTO DA COSTA POUSADA - ME",9840
"J A D ARAUJO & CIA LTDA",9700
"HOTEL SERRAMAR LTDA","9601,2"
"AURELIO CAIXETA DE MELO FERREIRA EIRELI - EPP",9600
"TULIP CAMPOS HOTELARIA SPE S.A","9223,2"
"ENIO MARCUS CAVALCANTE",8410
"TERESINA EMPREENDIMENTOS HOTELEIROS LTDA",8160
"BT MORUMBI HOTEIS LTDA","7522,2"
"JANDAIA HOTEL LTDA",6989
"DELFIM S/A COMUNICAÇÃO E TURISMO",6750
"TULIP ITAGUAI HOTELARIA SPE SA","6400,8"
"HOTEL NACIONAL INN RIBEIRÃO PRETO LTDA",6220
